Date,Open,High,Low,Close,Volume From,Volume To
15-08-2018,83.93,94,83.93,89.72,2160.05,193725.35
16-08-2018,89.72,92.86,88.36,90.56,2573.28,233287.39
17-08-2018,90.56,101.35,90.56,99.71,1289.89,123510.8
18-08-2018,99.71,104.84,94.77,97.9,3018.94,298118.09
19-08-2018,97.9,99,94.77,98.72,725.83,70514.1
20-08-2018,98.72,102.82,92.08,92.08,3051.12,300442.2
21-08-2018,92.08,96.32,91.72,94.5,3303.96,307152.75
22-08-2018,94.5,99,87.88,89.8,4431.89,411415.01
23-08-2018,89.8,91.2,88.2,90.14,1307.09,116645.09
24-08-2018,90.14,94.1,88.2,93.71,913.21,83000.01
25-08-2018,93.71,96.24,91.95,92.8,712.95,66596.78
26-08-2018,92.8,94.75,90.03,94.75,721.88,66510.93
27-08-2018,94.75,106.92,93.43,105.06,2807.45,276594.32
28-08-2018,105.06,108,102,107.51,1518.16,160087.26
29-08-2018,107.51,108.54,100.52,103.12,1813.84,188557.62
30-08-2018,103.12,106.75,97,103.02,1932.4,193807.95
31-08-2018,103.02,119,102.61,116.3,10084.65,1125017.86
01-09-2018,116.3,124.53,115.69,120.4,9972.4,1212473.74
02-09-2018,120.4,125.38,116.43,120,3654.02,442478.38
03-09-2018,120,136.3,119,136,4052.81,529223.62
04-09-2018,136,140.12,134.37,137.56,5717.25,787108.82
05-09-2018,137.56,140.11,113.32,113.86,8031.05,1004224.69
06-09-2018,113.86,118.5,108.29,117.42,3997.55,450582.57
07-09-2018,117.42,120,109.85,111.55,3626.27,417707.05
08-09-2018,111.55,114.2,101.19,104.03,2663.78,283393.02
09-09-2018,104.03,110.9,100.76,105.24,2541.58,268623.14
10-09-2018,105.24,108.94,103.53,104.6,1208.1,127896.5
11-09-2018,104.6,109,101,104.96,1529.71,160741.86
12-09-2018,104.96,105.51,96.59,104.76,4041.13,402271.72
13-09-2018,104.76,116.23,104.02,111.31,4259.39,470983.04
14-09-2018,111.31,117.46,109,116.51,2421.07,274754.97
15-09-2018,116.51,122.13,116.5,118.5,1985.43,235859.28
16-09-2018,118.5,119.14,113.41,116.17,1197.38,139204.69
17-09-2018,116.17,120,105.85,105.85,3839.07,435262.64
18-09-2018,105.85,113.81,103.6,111.9,2841.82,312347.03
19-09-2018,111.9,112.77,104.53,108.89,3151.38,340855.43
20-09-2018,108.89,116.35,108.89,116.35,2196.27,246674.03
21-09-2018,116.35,124.9,115.38,123.69,2585.49,311450.43
22-09-2018,123.69,125.62,118.7,122.13,2585.78,313155.8
23-09-2018,122.13,128.18,120.5,122.52,2183.25,269708.76
24-09-2018,122.52,123.32,114.11,115.12,1896.83,224940.45
25-09-2018,115.12,115.93,110.78,115.84,1450.82,164396.51
26-09-2018,115.84,117.53,112.18,115.38,1009.84,116061.55
27-09-2018,115.38,122.23,113,119.64,3036.44,362590.94
28-09-2018,119.64,122.5,115.05,116.66,1273.12,151115.92
29-09-2018,116.66,117.44,112.01,114.08,901.5,103005.64
30-09-2018,114.08,117.1,113.63,115.95,1289.62,148200.4
01-10-2018,115.95,118.28,112.33,114.81,1746.73,202275.75
02-10-2018,114.81,120.37,112.67,116.43,1346.54,156138.33
03-10-2018,116.43,117.5,111.65,114.56,883.92,100753.33
04-10-2018,114.56,116.45,113.07,114.79,2231.51,255445.23
05-10-2018,114.79,115.58,113.93,115.36,623.95,71594.03
06-10-2018,115.36,115.74,113.3,115.34,256.32,29340.92
07-10-2018,115.34,115.34,112.5,114.05,605.07,68831.1
08-10-2018,114.05,115.65,112.88,114.48,800.9,92032.51
09-10-2018,114.48,114.81,113.1,113.46,874.31,99594.79
10-10-2018,113.46,115.35,111.67,114.73,908.77,103280.96
11-10-2018,114.73,114.73,100.6,100.6,4772.84,500360.07
12-10-2018,100.6,105,100.12,102.35,1848.24,188333.7
13-10-2018,102.35,104.3,102.3,104,182.73,18923.94
14-10-2018,104,105.5,101.43,101.43,740.6,77066.68
15-10-2018,101.43,119.7,100.77,109.74,4986.57,548975.04
16-10-2018,109.74,109.74,109.7,109.7,0,0
